effort	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	c21	c22	c23	c24	c25	c26	c27	c28	c29	c30	c31	c32	c33	c34	c35	c36	c37	c38	c39	c40	c41	c42	c43	c44	c45	c46	c47	c48	c49	c50	c51	c52	c53	c54	c55	c56	c57	c58	c59	c60	c61	c62	c63	c64	c65	c66	c67	c68	c69	c70	c71	c72	c73	c74	c75	c76	c77	c78	c79	c80	c81	c82	c83	c84	c85	c86	c87	c88	c89	c90	c91	c92	c93	c94	c95	c96	c97	c98	c99	c100	c101	c102	c103	c104	c105	c106	c107	c108	c109	c110	c111	c112	c113	c114	c115	c116	c117	c118	c119	c120	c121	c122	c123	c124	c125	c126	c127	c128	c129	c130
99	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	1448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	1020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1020	0	0	0	0	0	0	0
208	3968.60735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3018.181818	0	0	0	0	0	0	340.4255318	0	0	0	0	0	0	0	610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	17.02127659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.02127659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
49	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
137	2386.702056	0	0	0	0	0	0	0	0	0	0	0	0	0	14.09090911	0	0	8.049242433	0	0	0	0	0	0	0	0	149.0909091	2.727272727	0	6.363636363	45.45454545	36.36363637	75.75757576	0.909090909	0	0	0	0	0	0	2.272727275	0	0	0	0	0	0	0	0	60.54545453	0	20	111.8181818	108.1818182	0	0	0	0	171.8181818	0	4.545454545	0	0	0	0	95.45454546	0	0	0	0	0	0	1.818181818	0	0	0	342.9752067	550.909091	0	0	292.5407927	0	0	0	0	0	0	0	0	40.90909091	0	166.3636363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.727272727	0	0	0	0	0	0	0	1.339712918	0	0	0	0	0	0	0	1.818181818	0	0	0	0	0	20.9486166	50.9090909	0
12	13210.52024	0	0	0	0	0	0	0	0	900	0	0	30	0	14.09090911	12	0	8.049242433	0	0	0	0	0	0	0	0	149.0909091	2.727272727	0	6.363636363	45.45454545	36.36363637	75.75757576	0.909090909	0	0	0	0	0	0	2.272727275	0	0	0	0	0	0	0	0	60.54545453	0	0	111.8181818	108.1818182	0	0	0	0	171.8181818	0	4.545454545	0	0	0	0	95.45454546	0	0	0	0	0	0	1.818181818	0	0	0	644.7933885	550.909091	0	0	292.5407927	0	0	0	0	0	0	0	0	40.90909091	0	166.3636363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.727272727	0	0	0	0	0	0	0	1.339712918	0	0	0	0	9600	0	0	1.818181818	0	0	0	0	0	20.9486166	50.9090909	0
8	3630.520238	0	0	0	0	0	0	0	0	900	0	0	30	0	14.09090911	12	0	8.049242433	0	0	0	0	0	0	0	0	149.0909091	2.727272727	0	6.363636363	45.45454545	36.36363637	75.75757576	20.90909091	0	0	0	0	0	0	2.272727275	0	0	0	0	0	0	0	0	60.54545453	0	0	111.8181818	108.1818182	0	0	0	0	171.8181818	0	4.545454545	0	0	0	0	95.45454546	0	0	0	0	0	0	1.818181818	0	0	0	644.7933885	550.909091	0	0	292.5407927	0	0	0	0	0	0	0	0	40.90909091	0	166.3636363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.727272727	0	0	0	0	0	0	0	1.339712918	0	0	0	0	0	0	0	1.818181818	0	0	0	0	0	20.9486166	50.9090909	0
8	4120.520238	0	0	0	0	0	0	0	0	900	0	0	30	0	14.09090911	12	0	8.049242433	0	0	0	0	0	0	0	0	149.0909091	2.727272727	0	6.363636363	45.45454545	36.36363637	75.75757576	0.909090909	0	0	0	0	0	0	2.272727275	0	0	0	0	0	0	0	0	60.54545453	0	0	111.8181818	108.1818182	0	0	0	0	171.8181818	0	4.545454545	0	0	0	0	95.45454546	0	0	0	0	0	0	1.818181818	0	0	0	644.7933885	550.909091	0	0	292.5407927	0	0	0	0	0	0	0	0	40.90909091	0	166.3636363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.727272727	0	0	0	0	0	0	0	1.339712918	0	0	0	0	0	0	0	1.818181818	510	0	0	0	0	20.9486166	50.9090909	0
8	3815.520238	0	0	0	0	0	0	0	0	900	0	0	30	0	14.09090911	12	0	8.049242433	0	0	0	0	0	0	0	0	149.0909091	2.727272727	0	6.363636363	45.45454545	36.36363637	75.75757576	0.909090909	0	0	0	0	0	0	2.272727275	0	0	0	0	0	0	0	0	60.54545453	0	0	316.8181818	108.1818182	0	0	0	0	171.8181818	0	4.545454545	0	0	0	0	95.45454546	0	0	0	0	0	0	1.818181818	0	0	0	644.7933885	550.909091	0	0	292.5407927	0	0	0	0	0	0	0	0	40.90909091	0	166.3636363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.727272727	0	0	0	0	0	0	0	1.339712918	0	0	0	0	0	0	0	1.818181818	0	0	0	0	0	20.9486166	50.9090909	0
11	13784.36513	0	0	0	0	0	0	186	80	0	0	0	360	0	14.09090911	48	0	61.17424243	0	0	363.6363636	700	0	0	0	0	149.0909091	2.727272727	0	6.363636363	45.45454545	36.36363637	75.75757576	0.909090909	0	0	0	0	0	3060	2.272727275	0	25	0	0	0	0	0	1400	60.54545453	0	0	111.8181818	108.1818182	0	150	0	0	171.8181818	0	4.545454545	0	0	0	0	95.45454546	22.22222222	0	0	0	0	0	1.818181818	70	0	0	342.9752067	550.909091	0	0	1579.720279	0	0	0	0	0	0	680	0	40.90909091	0	166.3636363	60	0	0	0	0	0	0	0	0	0	0	680	687.5	0	2.727272727	0	0	0	330	0	195	0	1.339712918	0	320	0	0	0	660	0	1.818181818	0	0	0	0	0	20.9486166	50.9090909	0
49	5516.106368	0	0	0	0	0	0	0	0	0	0	0	0	0	14.09090911	0	0	96.59090909	0	0	90.9090909	0	0	0	0	0	149.0909091	2.727272727	0	6.363636363	45.45454545	36.36363637	75.75757576	0.909090909	0	0	0	0	0	510	2.272727275	0	0	0	0	0	0	0	1400	60.54545453	0	0	214.3181818	108.1818182	0	0	0	0	171.8181818	0	4.545454545	0	0	0	0	95.45454546	0	0	0	0	0	0	1.818181818	0	0	0	342.9752067	550.909091	0	0	292.5407927	0	0	42.55319149	0	0	0	85	0	85.90909091	0	166.3636363	15	0	37.5	0	0	0	0	0	0	0	0	0	194.7916667	0	2.727272727	0	0	0	82.5	0	48.75	0	1.339712918	0	120	0	0	0	165	0	1.818181818	63.75	0	0	0	0	78.55731227	50.9090909	0
4	4292.495256	0	0	0	0	0	0	0	0	0	0	0	0	0	14.09090911	0	0	96.59090909	0	0	90.9090909	0	0	0	0	0	149.0909091	2.727272727	0	6.363636363	45.45454545	36.36363637	75.75757576	0.909090909	0	0	0	0	0	510	52.27272725	0	0	0	0	0	0	0	0	60.54545453	0	0	214.3181818	108.1818182	0	0	0	0	171.8181818	0	4.545454545	0	0	0	0	95.45454546	22.22222222	0	0	0	0	0	1.818181818	0	0	0	342.9752067	550.909091	0	0	292.5407927	0	0	42.55319149	0	0	0	85	0	85.90909091	0	166.3636363	15	0	187.5	0	0	0	0	0	0	0	0	0	148.9583333	0	2.727272727	0	0	0	82.5	0	48.75	0	1.339712918	0	120	0	0	0	165	0	1.818181818	63.75	0	0	0	0	78.55731227	50.9090909	0
8	3958.836864	0	0	0	0	0	0	0	0	0	0	0	0	0	14.09090911	0	0	25.75757577	0	0	90.9090909	0	0	0	0	0	149.0909091	2.727272727	0	6.363636363	45.45454545	36.36363637	75.75757576	0.909090909	0	0	0	0	0	510	2.272727275	0	0	0	0	0	0	0	0	60.54545453	0	0	214.3181818	108.1818182	0	0	0	0	171.8181818	0	4.545454545	0	0	0	0	95.45454546	0	0	0	0	0	0	1.818181818	0	0	0	342.9752067	550.909091	0	0	292.5407927	0	0	93.61702128	0	0	0	85	0	85.90909091	0	166.3636363	15	0	37.5	0	0	0	0	0	0	0	0	0	57.29166669	0	2.727272727	0	0	0	82.5	0	48.75	0	1.339712918	0	120	0	0	0	165	0	1.818181818	63.75	0	0	0	0	78.55731227	50.9090909	0
12	4899.286252	0	0	0	0	0	0	0	0	0	0	0	0	0	14.09090911	48	0	25.75757577	0	0	90.9090909	0	0	0	0	0	149.0909091	2.727272727	0	6.363636363	45.45454545	36.36363637	75.75757576	0.909090909	0	0	0	0	0	510	2.272727275	0	0	0	0	0	0	0	0	60.54545453	0	0	214.3181818	108.1818182	0	0	0	0	171.8181818	0	4.545454545	0	0	0	0	95.45454546	0	0	0	0	0	0	1.818181818	0	0	0	342.9752067	550.909091	0	0	549.9766899	0	0	263.8297872	0	0	0	85	0	85.90909091	0	166.3636363	15	0	112.5	0	0	0	0	0	0	0	0	0	171.875	0	2.727272727	0	0	0	82.5	0	48.75	0	1.339712918	0	280	0	0	0	165	0	1.818181818	63.75	0	0	0	0	193.7747036	50.9090909	0
122	9354.434573	0	0	0	0	0	0	341	0	0	0	0	0	0	107.0909091	0	0	43.46590909	0	0	363.6363636	700	0	0	0	0	149.0909091	2.727272727	0	6.363636363	45.45454545	36.36363637	75.75757576	0.909090909	0	0	0	0	0	0	2.272727275	0	40	0	0	0	0	0	0	60.54545453	0	0	111.8181818	108.1818182	0	0	0	0	171.8181818	0	4.545454545	0	0	0	0	95.45454546	0	0	0	0	0	0	1.818181818	70	0	0	342.9752067	550.909091	0	0	1579.720279	0	0	0	0	0	0	0	0	40.90909091	0	166.3636363	15	0	0	0	0	0	0	0	0	0	0	0	687.5	0	2.727272727	1650	0	40	330	0	195	0	1.339712918	0	480	0	0	0	660	0	1.818181818	0	0	0	0	0	20.9486166	50.9090909	0
330	6050.477941	0	0	0	0	0	0	217	80	0	0	0	0	0	116.25	0	0	199.21875	0	0	109.0909091	0	0	0	0	0	205	3.125	0	26.25	37.5	50	187.5	1.875	0	0	0	0	0	0	0	0	0	0	0	0	0	314.1666666	0	83.25	0	80	0	106.25	0	0	0	0	236.25	0	31.25	0	0	0	0	28.125	22.22222222	0	50	0	0	0	2.5	280	0	0	282.9545454	252.5	0	0	836.6666666	375	0	0	0	0	0	0	0	90	0	114.375	0	0	150	0	0	0	0	0	0	0	0	0	550	0	0	412.5	0	0	0	0	24.375	0	1.315789474	340	0	0	0	0	0	0	3.75	0	0	0	0	0	115.2173913	35	0
85	6206.892961	0	0	0	0	0	0	0	80	0	0	0	0	0	116.25	0	0	57.55208334	0	0	363.6363636	350	0	0	0	0	205	3.125	0	26.25	37.5	50	104.1666667	1.875	0	0	0	0	0	0	0	0	0	0	0	0	0	54.16666666	0	601.25	0	0	0	106.25	0	0	0	0	236.25	0	31.25	0	0	0	0	28.125	22.22222222	0	0	0	0	0	2.5	455	0	0	282.9545454	252.5	0	0	836.6666666	0	0	0	0	0	0	0	0	0	0	114.375	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	1072.5	0	0	0	0	24.375	0	1.315789474	0	0	0	0	0	0	0	3.75	0	0	0	0	0	576.0869567	35	0
428	3761.876348	0	0	0	0	0	0	0	80	0	0	0	0	0	116.25	0	0	22.13541666	0	0	0	0	0	0	0	0	205	3.125	0	26.25	37.5	50	104.1666667	1.875	0	0	0	0	0	0	0	0	0	0	0	0	0	54.16666666	0	83.25	0	0	0	106.25	0	0	0	0	236.25	0	31.25	0	0	0	0	28.125	0	0	0	0	0	0	2.5	0	0	0	282.9545454	1262.5	0	0	321.7948718	0	0	0	0	0	0	0	0	0	0	114.375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	412.5	0	0	0	0	24.375	0	1.315789474	0	0	0	0	0	0	0	3.75	0	0	0	0	0	115.2173913	35	0
184	3361.876348	0	0	0	0	0	0	0	80	0	0	0	0	0	116.25	0	0	22.13541666	0	0	0	0	0	0	0	0	205	3.125	0	26.25	37.5	50	104.1666667	1.875	0	0	0	0	0	0	0	0	0	0	0	0	0	54.16666666	0	83.25	0	0	0	106.25	0	0	0	0	236.25	0	31.25	0	0	0	0	28.125	0	0	0	0	0	0	2.5	0	0	0	282.9545454	252.5	0	0	321.7948718	0	0	0	0	0	0	0	0	0	0	724.375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	412.5	0	0	0	0	24.375	0	1.315789474	0	0	0	0	0	0	0	3.75	0	0	0	0	0	115.2173913	35	0
38	2771.876348	0	0	0	0	0	0	0	80	0	0	0	0	0	116.25	20	0	22.13541666	0	0	0	0	0	0	0	0	205	3.125	0	26.25	37.5	50	104.1666667	1.875	0	0	0	0	0	0	0	0	0	0	0	0	0	54.16666666	0	83.25	0	0	0	106.25	0	0	0	0	236.25	0	31.25	0	0	0	0	28.125	0	0	0	0	0	0	2.5	0	0	0	282.9545454	252.5	0	0	321.7948718	0	0	0	0	0	0	0	0	0	0	114.375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	412.5	0	0	0	0	24.375	0	1.315789474	0	0	0	0	0	0	0	3.75	0	0	0	0	0	115.2173913	35	0
77	10021.33789	0	0	0	0	0	0	186	80	0	0	0	0	0	116.25	0	0	57.55208334	0	0	0	0	0	0	0	0	205	3.125	0	26.25	37.5	50	520.8333333	6.875	0	0	0	0	0	0	0	0	0	0	0	0	0	54.16666666	0	83.25	0	10	615	106.25	0	0	0	4440	236.25	0	31.25	0	0	0	0	28.125	0	0	0	0	7.5	0	2.5	105	0	0	282.9545454	252.5	0	0	643.5897436	0	0	0	0	0	0	0	0	0	0	114.375	15	0	75	0	0	0	0	0	0	0	0	170	114.5833333	0	0	412.5	0	0	165	0	121.875	0	1.315789474	0	160	0	0	0	330	0	3.75	0	0	0	0	0	115.2173913	35	0
144	5231.337886	0	0	0	0	0	0	186	80	0	0	0	0	0	116.25	0	0	57.55208334	0	0	0	0	0	0	0	0	205	3.125	0	26.25	37.5	50	520.8333333	1.875	0	0	0	0	0	0	0	0	0	0	0	0	0	54.16666666	0	83.25	0	10	0	106.25	0	0	0	0	236.25	0	31.25	0	0	0	0	28.125	0	0	0	0	7.5	0	2.5	105	0	0	282.9545454	252.5	0	0	643.5897436	225	0	0	0	0	0	0	0	0	0	114.375	15	0	75	0	0	0	0	0	0	0	0	170	114.5833333	0	45	412.5	0	0	165	0	121.875	0	1.315789474	0	160	0	0	0	330	0	3.75	0	0	0	0	0	115.2173913	35	0
75	2821.876348	0	0	0	0	0	0	0	80	0	0	0	0	0	116.25	0	0	22.13541666	0	0	0	0	0	0	0	0	205	3.125	0	26.25	37.5	50	104.1666667	1.875	0	0	0	0	0	0	0	0	0	0	0	0	0	54.16666666	0	83.25	0	20	0	106.25	0	0	0	0	236.25	0	31.25	0	0	0	0	28.125	0	0	0	0	0	0	2.5	0	0	0	282.9545454	252.5	0	0	321.7948718	0	0	0	0	0	0	0	0	0	0	114.375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	412.5	0	0	0	0	24.375	0	1.315789474	0	0	0	0	0	0	0	53.75	0	0	0	0	0	115.2173913	35	0
223	232.7631579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.263157894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210	0
143	251.7631579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.263157894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210	0
35	2115	0	0	0	0	165	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1400	0	0	0	0	0	0	0	438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0
188	875	0	0	0	0	165	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0
135	3490	875	0	0	0	165	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	680	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0
