satisfaction,effort,time,req_1,req_2,req_3,req_4,req_5,req_6,req_7,req_8,req_9,req_10,req_11,req_12,req_13,req_14,req_15,req_16,req_17,req_18,req_19,req_20,req_21,req_22,req_23,req_24,req_25,req_26,req_27,req_28,req_29,req_30,req_31,req_32,req_33,req_34,req_35,req_36,req_37,req_38,req_39,req_40,req_41,req_42,id,productivity,response,opportunity,scope,squandering,stcov_cv1,stcov_cv2,stcov_cv3,stcov_cv4,cluster,cluster_str,group_label
1728.0,292,1580.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,5.917808219178082,5.410958904109589,1.0936708860759494,0.19047619047619047,0.7939308398023994,0.24369747899148286,0.3212851405618189,0.29696969696951697,0.24548736462081203,1,1,Cluster 1 (n=40)
1740.0,299,1611.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,5.8193979933110365,5.3879598662207355,1.080074487895717,0.19047619047619047,0.7889908256880734,0.25210084033601676,0.31325301204777345,0.29696969696951697,0.24548736462081203,1,1,Cluster 1 (n=40)
1765.0,303,1624.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,5.8250825082508255,5.35973597359736,1.0868226600985222,0.19047619047619047,0.7861679604798871,0.2478991596637498,0.3212851405618189,0.29696969696951697,0.259927797833801,1,1,Cluster 1 (n=40)
1797.0,306,1658.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,5.872549019607843,5.4183006535947715,1.0838359469240049,0.21428571428571427,0.7840508115737473,0.2647058823528176,0.365461847389069,0.2999999999998182,0.23826714801431756,1,1,Cluster 1 (n=40)
1884.0,308,1727.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,6.116883116883117,5.607142857142857,1.0909090909090908,0.21428571428571427,0.7826393789696542,0.26890756302508456,0.34136546184693256,0.3242424242422277,0.26714801444029546,1,1,Cluster 1 (n=40)
1986.0,316,1724.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,25,6.284810126582278,5.455696202531645,1.1519721577726219,0.16666666666666666,0.7769936485532816,0.26890756302508456,0.3574297188750235,0.3242424242422277,0.24548736462081203,1,1,Cluster 1 (n=40)
1868.0,320,1743.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,5.8375,5.446875,1.0717154331612162,0.23809523809523808,0.7741707833450953,0.3025210084032201,0.3333333333328871,0.2999999999998182,0.24548736462081203,1,1,Cluster 1 (n=40)
1955.0,322,1807.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,6.071428571428571,5.611801242236025,1.0819037078029883,0.23809523809523808,0.7727593507410021,0.28991596638641925,0.36947791164609173,0.32727272727252893,0.26714801444029546,1,1,Cluster 1 (n=40)
1960.0,327,1794.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,5.99388379204893,5.486238532110092,1.0925306577480491,0.23809523809523808,0.7692307692307693,0.28151260504188536,0.3534136546180008,0.32727272727252893,0.2851985559565316,1,1,Cluster 1 (n=40)
1967.0,329,1838.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,5.9787234042553195,5.586626139817629,1.0701849836779107,0.23809523809523808,0.7678193366266761,0.29831932773095315,0.3614457831320463,0.32727272727252893,0.26714801444029546,1,1,Cluster 1 (n=40)
2144.0,332,1873.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,30,6.457831325301205,5.641566265060241,1.1446876668446342,0.19047619047619047,0.7657021877205363,0.2941176470586862,0.3614457831320463,0.35151515151493845,0.2743682310467899,1,1,Cluster 1 (n=40)
2111.0,338,1954.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31,6.245562130177515,5.781065088757397,1.0803480040941658,0.2619047619047619,0.7614678899082569,0.31512605042002095,0.3895582329312054,0.35454545454523967,0.28880866425977886,1,1,Cluster 1 (n=40)
2086.0,345,1956.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,6.046376811594203,5.6695652173913045,1.0664621676891615,0.23809523809523808,0.7565278757939309,0.310924369747754,0.3935742971882282,0.35151515151493845,0.2815884476532844,1,1,Cluster 1 (n=40)
2300.0,351,2020.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,33,6.552706552706553,5.754985754985755,1.1386138613861385,0.21428571428571427,0.7522935779816514,0.3193277310922879,0.38152610441715995,0.37878787878764925,0.2960288808662733,1,1,Cluster 1 (n=40)
2242.0,361,2103.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34,6.2105263157894735,5.825484764542936,1.0660960532572517,0.2619047619047619,0.7452364149611856,0.3361344537813557,0.41365461847334184,0.37878787878764925,0.3032490974727678,1,1,Cluster 1 (n=40)
2369.0,365,2098.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,35,6.49041095890411,5.747945205479452,1.1291706387035272,0.23809523809523808,0.7424135497529993,0.34033613445362265,0.42570281124441006,0.3818181818179504,0.28880866425977886,1,1,Cluster 1 (n=40)
2456.0,367,2167.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,36,6.692098092643052,5.9046321525885554,1.1333640978311028,0.23809523809523808,0.7410021171489062,0.34453781512588955,0.4016064257022736,0.40606060606036,0.3176895306857567,1,1,Cluster 1 (n=40)
2318.0,380,2170.0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37,6.1,5.7105263157894735,1.0682027649769585,0.2857142857142857,0.7318278052223006,0.3487394957981565,0.42570281124441006,0.3818181818179504,0.321299638989004,1,1,Cluster 1 (n=40)
2527.0,381,2247.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,38,6.63254593175853,5.897637795275591,1.1246105919003115,0.2619047619047619,0.7311220889202541,0.3655462184872243,0.4297188755014328,0.40909090909066115,0.3176895306857567,1,1,Cluster 1 (n=40)
2532.0,386,2234.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,39,6.5595854922279795,5.787564766839378,1.1333930170098478,0.2619047619047619,0.7275935074100212,0.3571428571426904,0.41365461847334184,0.40909090909066115,0.3357400722019929,1,1,Cluster 1 (n=40)
2437.0,389,2283.0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,6.26478149100257,5.868894601542417,1.067455102934735,0.2619047619047619,0.7254763585038815,0.35294117647042345,0.43775100401547823,0.40909090909066115,0.35018050541498186,1,1,Cluster 1 (n=40)
2442.0,394,2270.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41,6.197969543147208,5.761421319796955,1.0757709251101322,0.2619047619047619,0.7219477769936485,0.34453781512588955,0.4216867469873873,0.40909090909066115,0.36823104693121805,1,1,Cluster 1 (n=40)
2449.0,396,2314.0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,6.184343434343434,5.843434343434343,1.0583405358686258,0.2619047619047619,0.7205363443895554,0.36134453781495735,0.4297188755014328,0.40909090909066115,0.35018050541498186,1,1,Cluster 1 (n=40)
2683.0,397,2394.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,43,6.758186397984887,6.030226700251889,1.120718462823726,0.2857142857142857,0.7198306280875089,0.390756302520826,0.44979919678654645,0.4363636363633719,0.33935018050524013,1,1,Cluster 1 (n=40)
2658.0,404,2396.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,44,6.579207920792079,5.930693069306931,1.1093489148580968,0.2619047619047619,0.7148906139731828,0.38655462184855904,0.4538152610435692,0.4333333333330707,0.33212996389874566,1,1,Cluster 1 (n=40)
2593.0,405,2430.0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45,6.402469135802469,6.0,1.0670781893004115,0.2857142857142857,0.7141848976711362,0.37815126050402514,0.45783132530059195,0.4363636363633719,0.37184115523446526,1,1,Cluster 1 (n=40)
2695.0,413,2427.0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,46,6.52542372881356,5.876513317191283,1.1104243922538113,0.23809523809523808,0.7085391672547636,0.37815126050402514,0.4738955823286829,0.4363636363633719,0.35018050541498186,1,1,Cluster 1 (n=40)
2702.0,418,2416.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,47,6.464114832535885,5.779904306220096,1.1183774834437086,0.23809523809523808,0.7050105857445307,0.36974789915949124,0.441767068272501,0.4363636363633719,0.3754512635377125,1,1,Cluster 1 (n=40)
2656.9,419,2457.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,48,6.341050119331743,5.863961813842482,1.0813593813593814,0.3333333333333333,0.7043048694424842,0.36974789915949124,0.48594377509975106,0.4363636363633719,0.382671480144207,1,1,Cluster 1 (n=40)
2814.0,420,2543.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,49,6.7,6.054761904761905,1.1065670467951239,0.2857142857142857,0.7035991531404375,0.4117647058821607,0.4738955823286829,0.46060606060578146,0.3537906137182291,1,1,Cluster 1 (n=40)
